group,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,tone_step,path,code
p_group,exposure,crit_unamb,Ballerina,NA,1,1,2,Ballerina,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Ballerina_Pallerina_1_30.wav,1
p_group,exposure,crit_unamb,Balloon,NA,0,0,0,Enlarge,no,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Balloon_Palloon_1_30.wav,2
p_group,exposure,crit_unamb,Baloney,NA,1,1,2,Baloney,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Baloney_Paloney_1_30.wav,3
p_group,exposure,crit_unamb,Banana,NA,1,1,2,Banana,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Banana_Panana_1_30.wav,4
p_group,exposure,crit_unamb,Barely,NA,1,1,2,Barely,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Barely_Parely_1_30.wav,5
p_group,exposure,crit_unamb,Barn,NA,0,1,1,Bark,no,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Barn_Parn_1_30.wav,6
p_group,exposure,crit_unamb,Barren,NA,1,1,2,Barren,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Barren_Parren_3_30.wav,7
p_group,exposure,crit_unamb,Belly,NA,0,1,1,Berry,no,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Belly_Pelly_3_30.wav,8
p_group,exposure,crit_unamb,Benign,NA,1,1,2,Benign,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Benign_Penign_1_30.wav,9
p_group,exposure,crit_unamb,Biannual,NA,1,1,2,Biannual,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Biannual_Piannual_1_30.wav,10
p_group,exposure,crit_unamb,Billion,NA,0,1,1,Bitter,no,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Billion_Pillion_1_30.wav,11
p_group,exposure,crit_unamb,Billionaire,NA,1,1,2,Billionaire,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Billionaire_Pillionaire_1_30.wav,12
p_group,exposure,crit_unamb,Blue,NA,0,0,0,Colleague,no,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Blue_Plue_1_30.wav,13
p_group,exposure,crit_unamb,Boil,NA,1,1,2,Boil,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Boil_Poil_1_30.wav,14
p_group,exposure,crit_unamb,Boom,NA,1,1,2,Boom,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Boom_Poom_1_30.wav,15
p_group,exposure,crit_unamb,Brain,NA,1,1,2,Brain,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Brain_Prain_1_30.wav,16
p_group,exposure,crit_unamb,Brewery,NA,1,1,2,Brewery,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Brewery_Prewery_3_30.wav,17
p_group,exposure,crit_unamb,Brown,NA,1,1,2,Brown,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Brown_Prown_1_30.wav,18
p_group,exposure,crit_unamb,Burial,NA,1,1,2,Burial,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Burial_Purial_1_30.wav,19
p_group,exposure,crit_unamb,Burrow,NA,1,1,2,Burrow,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/unambiguous_b/Burrow_Purrow_1_30.wav,20
p_group,exposure,crit_unamb,Parallel,NA,1,1,2,Parallel,yes,1,NA,NA,NA,SAME,DIFFERENT,21,NA,audio/ambiguous_p/Barallel_Parallel_3_21.wav,21
p_group,exposure,crit_unamb,Parlor,NA,0,0,0,Neutral,no,1,NA,NA,NA,SAME,DIFFERENT,25,NA,audio/ambiguous_p/Barlor_Parlor_3_25.wav,22
p_group,exposure,crit_unamb,Pawn,NA,1,1,2,Pawn,yes,1,NA,NA,NA,SAME,DIFFERENT,25,NA,audio/ambiguous_p/Bawn_Pawn_3_25.wav,23
p_group,exposure,crit_unamb,Peninsula,NA,1,1,2,Peninsula,yes,1,NA,NA,NA,SAME,DIFFERENT,29,NA,audio/ambiguous_p/Beninsula_Peninsula_3_29.wav,24
p_group,exposure,crit_unamb,Perform,NA,1,1,2,Perform,yes,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/ambiguous_p/Berform_Perform_3_30.wav,25
p_group,exposure,crit_unamb,Pioneer,NA,0,1,1,Pillow,no,1,NA,NA,NA,SAME,DIFFERENT,30,NA,audio/ambiguous_p/Bioneer_Pioneer_3_30.wav,26
p_group,exposure,crit_unamb,Planner,NA,1,1,2,Planner,yes,1,NA,NA,NA,SAME,DIFFERENT,25,NA,audio/ambiguous_p/Blanner_Planner_3_25.wav,27
p_group,exposure,crit_unamb,Plea,NA,0,1,1,Pick,no,1,NA,NA,NA,SAME,DIFFERENT,23,NA,audio/ambiguous_p/Blea_Plea_3_23.wav,28
p_group,exposure,crit_unamb,Plyer,NA,1,1,2,Plyer,yes,1,NA,NA,NA,SAME,DIFFERENT,22,NA,audio/ambiguous_p/Blyer_Plyer_1_22.wav,29
p_group,exposure,crit_unamb,Pollen,NA,1,1,2,Pollen,yes,1,NA,NA,NA,SAME,DIFFERENT,26,NA,audio/ambiguous_p/Bollen_Pollen_3_26.wav,30
p_group,exposure,crit_unamb,Polymer,NA,0,1,1,Pottery,no,1,NA,NA,NA,SAME,DIFFERENT,26,NA,audio/ambiguous_p/Bolymer_Polymer_3_26.wav,31
p_group,exposure,crit_unamb,Prayer,NA,1,1,2,Prayer,yes,1,NA,NA,NA,SAME,DIFFERENT,24,NA,audio/ambiguous_p/Brayer_Prayer_1_24.wav,32
p_group,exposure,crit_unamb,Preliminary,NA,0,0,0,Temple,no,1,NA,NA,NA,SAME,DIFFERENT,29,NA,audio/ambiguous_p/Breliminary_Preliminary_3_29.wav,33
p_group,exposure,crit_unamb,Premier,NA,1,1,2,Premier,yes,1,NA,NA,NA,SAME,DIFFERENT,25,NA,audio/ambiguous_p/Bremier_Premier_3_25.wav,34
p_group,exposure,crit_unamb,Primal,NA,1,1,2,Primal,yes,1,NA,NA,NA,SAME,DIFFERENT,27,NA,audio/ambiguous_p/Brimal_Primal_3_27.wav,35
p_group,exposure,crit_unamb,Prime,NA,1,1,2,Prime,yes,1,NA,NA,NA,SAME,DIFFERENT,21,NA,audio/ambiguous_p/Brime_Prime_1_21.wav,36
p_group,exposure,crit_unamb,Prior,NA,1,1,2,Prior,yes,1,NA,NA,NA,SAME,DIFFERENT,22,NA,audio/ambiguous_p/Brior_Prior_3_22.wav,37
p_group,exposure,crit_unamb,Prowl,NA,1,1,2,Prowl,yes,1,NA,NA,NA,SAME,DIFFERENT,20,NA,audio/ambiguous_p/Browl_Prowl_3_20.wav,38
p_group,exposure,crit_unamb,Pry,NA,1,1,2,Pry,yes,1,NA,NA,NA,SAME,DIFFERENT,21,NA,audio/ambiguous_p/Bry_Pry_1_21.wav,39
